,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,LAC,Blake Griffin,Oklahoma,11,668,22857,13984,5726,2889,.495,.334,.696,34.2,20.9,8.6,4.3,77.2,.162,3.6,32.1
2,2,MEM,Hasheem Thabeet,UConn,5,224,2357,483,595,27,.567,,.578,10.5,2.2,2.7,0.1,4.8,.099,-2.7,-0.4
3,3,OKC,James Harden,Arizona State,12,877,30198,22045,4794,5730,.444,.363,.858,34.4,25.1,5.5,6.5,142.0,.226,6.9,68.1
4,4,SAC,Tyreke Evans,Memphis,10,594,18242,9347,2720,2852,.440,.323,.757,30.7,15.7,4.6,4.8,28.4,.075,0.8,13.1
5,5,MIN,Ricky Rubio,,10,631,19158,6954,2619,4820,.391,.325,.843,30.4,11.0,4.2,7.6,40.3,.101,0.6,12.8
6,6,MIN,Jonny Flynn,Syracuse,3,163,3738,1504,307,634,.400,.338,.809,22.9,9.2,1.9,3.9,-1.1,-.015,-4.0,-1.9
7,7,GSW,Stephen Curry,Davidson,12,762,26150,18434,3503,4984,.477,.433,.907,34.3,24.2,4.6,6.5,112.2,.206,6.5,56.3
8,8,NYK,Jordan Hill,Arizona,8,409,7692,3232,2389,322,.497,.136,.699,18.8,7.9,5.8,0.8,16.4,.102,-2.0,0.0
9,9,TOR,DeMar DeRozan,USC,12,881,30046,17751,3835,3355,.460,.281,.833,34.1,20.1,4.4,3.8,74.9,.120,0.6,19.6
10,10,MIL,Brandon Jennings,,9,555,16844,7801,1659,3151,.387,.345,.796,30.3,14.1,3.0,5.7,29.9,.085,0.8,11.8
11,11,NJN,Terrence Williams,Louisville,4,153,2922,1085,545,364,.412,.317,.659,19.1,7.1,3.6,2.4,-0.2,-.004,-2.8,-0.6
12,12,CHA,Gerald Henderson,Duke,8,535,13854,5987,1716,1009,.440,.327,.793,25.9,11.2,3.2,1.9,18.3,.063,-1.8,0.6
13,13,IND,Tyler Hansbrough,UNC,7,428,7233,2881,1808,181,.439,.136,.738,16.9,6.7,4.2,0.4,20.2,.134,-2.0,0.0
14,14,PHO,Earl Clark,Louisville,6,261,3630,1138,778,134,.403,.328,.664,13.9,4.4,3.0,0.5,2.9,.038,-2.8,-0.8
15,15,DET,Austin Daye,Gonzaga,6,293,4132,1522,764,212,.402,.351,.778,14.1,5.2,2.6,0.7,4.5,.053,-2.0,0.0
16,16,CHI,James Johnson,Wake Forest,12,685,14124,5423,2461,1453,.475,.304,.686,20.6,7.9,3.6,2.1,25.8,.088,0.7,9.5
17,17,PHI,Jrue Holiday,UCLA,12,772,25610,12361,3060,4916,.457,.358,.778,33.2,16.0,4.0,6.4,49.5,.093,1.4,21.7
18,18,MIN,Ty Lawson,UNC,8,551,16088,6977,1506,3316,.460,.359,.770,29.2,12.7,2.7,6.0,42.1,.126,1.4,13.6
19,19,ATL,Jeff Teague,Wake Forest,12,826,22164,10061,1989,4585,.444,.360,.844,26.8,12.2,2.4,5.6,52.4,.113,0.6,14.3
20,20,UTA,Eric Maynor,VCU,5,267,3896,1141,348,760,.392,.350,.721,14.6,4.3,1.3,2.8,3.3,.041,-2.9,-0.8
21,21,NOH,Darren Collison,UCLA,10,708,20796,8857,1885,3543,.471,.394,.853,29.4,12.5,2.7,5.0,49.9,.115,0.6,13.5
22,22,POR,Victor Claver,,3,80,1072,258,178,56,.398,.293,.585,13.4,3.2,2.2,0.7,0.2,.011,-3.6,-0.4
23,23,SAC,Omri Casspi,,10,588,11959,4642,2355,662,.454,.368,.678,20.3,7.9,4.0,1.1,19.6,.078,-0.8,3.5
24,24,DAL,Byron Mullens,Ohio State,5,189,3446,1398,790,153,.408,.319,.706,18.2,7.4,4.2,0.8,0.6,.008,-4.0,-1.8
25,25,OKC,Rodrigue Beaubois,,4,182,2896,1286,338,374,.439,.325,.810,15.9,7.1,1.9,2.1,4.8,.079,-0.1,1.4
26,26,CHI,Taj Gibson,USC,12,844,21030,7859,5248,848,.518,.218,.710,24.9,9.3,6.2,1.0,56.2,.128,-0.7,7.2
27,27,MEM,DeMarre Carroll,Missouri,11,578,13675,5150,2454,726,.430,.358,.741,23.7,8.9,4.2,1.3,29.5,.104,0.0,6.7
28,28,MIN,Wayne Ellington,UNC,12,727,15290,5903,1566,822,.410,.382,.843,21.0,8.1,2.2,1.1,20.1,.063,-1.5,2.0
29,29,LAL,Toney Douglas,Florida State,8,394,7511,3009,875,889,.404,.354,.824,19.1,7.6,2.2,2.3,12.1,.077,-0.8,2.2
30,30,CLE,Christian Eyenga,,2,51,1049,320,137,40,.411,.277,.611,20.6,6.3,2.7,0.8,-0.4,-.020,-4.2,-0.6
